nombre,categoria,sku,codigo_barras,precio_bs,precio_usd,costo_bs,costo_usd,stock_minimo
ARBOL DE LEVA JAGUAR/HORSE 150 BARATO,TODO MOTO 668,TM668-AR66,,77.78,3.11,62.22,2.49,1
ARBOL DE LEVA MATRIX ELEGANCE  32 MM T&D,TODO MOTO 668,TM668-AR08,,42.72,1.71,34.18,1.37,1
ARBOL DE LEVA MATRIX ELEGANCE  33 MM T&D,TODO MOTO 668,TM668-W37,,77.78,3.11,62.22,2.49,1
ARBOL DE LEVA MATRIX ELEGANCE 33MM CALIDAD BUY CHASE,TODO MOTO 668,TM668-A120,,42.72,1.71,34.18,1.37,1
ARBOL DE LEVA OULOCK 150  CALIDAD  BUY &CHASE,TODO MOTO 668,TM668-A119,,77.88,3.12,62.30,2.49,1
ARBOL DE LEVA OWEN 2014  CALIDA  BUY &CHASE,TODO MOTO 668,TM668-A121,,77.78,3.11,62.22,2.49,1
ARBOL DE LEVA R1200  CALIDAD BUY CHASE,TODO MOTO 668,TM668-A04H,,42.72,1.71,34.18,1.37,1
ARBOL DE LEVA R1200 MARCA CAILI,TODO MOTO 668,TM668-AR35,,77.78,3.11,62.22,2.49,1
ARBOL DE LEVA SCOOTER 150,TODO MOTO 668,TM668-G110,,43.77,1.75,35.01,1.40,1
ARBOL DE LEVA SCOOTER 150 BARATO,TODO MOTO 668,TM668-A62,,44.86,1.79,35.89,1.44,1
ARBOL DE LEVA SCOOTER 150 CALIDAD BUY &CHASE,TODO MOTO 668,TM668-A63,,38.92,1.56,31.14,1.25,1
ARBOL DE LEVA SCOOTER AVA 90,TODO MOTO 668,TM668-AB12,,44.86,1.79,35.89,1.44,1
ARBOL DE LEVA TUCAN 110,TODO MOTO 668,TM668-AS14,,45.37,1.81,36.30,1.45,1
ARBOL DE LEVA X1 125 NUEVO YAMAHA ZUSUKI,TODO MOTO 668,TM668-58DE,,38.92,1.56,31.14,1.25,1
ARBOR DE LEVA SUPERSHADOW 250 PAR,TODO MOTO 668,TM668-AFR5,,45.34,1.81,36.27,1.45,1
ARRANQUE DE BERA 150,TODO MOTO 668,TM668-V873,,45.37,1.81,36.30,1.45,1
ARRANQUE DE GN 125 BARATO,TODO MOTO 668,TM668-A137B,,45.33,1.81,36.26,1.45,1
ARRANQUE DE GN 125 CALIDAD BUY CHASE,TODO MOTO 668,TM668-A137,,38.92,1.56,31.14,1.25,1
ARRANQUE DE HORSE 150 GRIS,TODO MOTO 668,TM668-RL70,,45.37,1.81,36.30,1.45,1
ARRANQUE DE MATRIX ELEGANCE,TODO MOTO 668,TM668-RL74,,45.33,1.81,36.26,1.45,1
ARRANQUE DE MOTOR OULOCK 150,TODO MOTO 668,TM668-FL77,,44.86,1.79,35.89,1.44,1
ARRANQUE DE OVEN-1,TODO MOTO 668,TM668-LJ874,,44.86,1.79,35.89,1.44,1
ARRANQUE DE SBR NEGRO,TODO MOTO 668,TM668-RL71,,38.92,1.56,31.14,1.25,1
ARRANQUE DE SCOOTER 150 BARATO,TODO MOTO 668,TM668-AR07B,,44.86,1.79,35.89,1.44,1
ARRANQUE DE SCOOTER 150 CALIDAD BUY CHASE,TODO MOTO 668,TM668-A458,,38.92,1.56,31.14,1.25,1
